id,alojamiento,localidad,fecha,puntuacion,texto
1,Casa Rural El Cierzo,Uncastillo,2026-03-14,5,"Casa preciosa en pleno casco histórico de Uncastillo. Subimos al Moncayo un día y otro visitamos Sos del Rey Católico. Repetiremos."
2,Casa Rural El Cierzo,Uncastillo,2026-03-21,4,"Muy bien situada, aunque la calefacción tardó en arrancar. Cenamos en un bar de la plaza y el sábado fuimos al mercadillo de Ejea de los Caballeros."
3,Casa Rural El Cierzo,Uncastillo,2026-04-05,2,"La casa estaba fría y sucia al llegar. El pueblo es bonito, pero no volveremos. La oficina de turismo nos atendió muy bien."
4,Apartamentos Las Bardenas,Sádaba,2026-04-11,5,"Ideal para conocer las Bardenas Reales. Paisaje impresionante, y a media hora de Tudela y de Tauste."
5,Apartamentos Las Bardenas,Sádaba,2026-04-18,3,"Apartamento correcto sin más. El wifi iba lento y la ducha goteaba. Lo mejor: la excursión a Tarazona."
6,Apartamentos Las Bardenas,Sádaba,2026-05-02,4,"Limpio y cómodo. Hicimos ruta en bici hasta el embalse de Yesa y comimos en Sangüesa."
7,Hostal Sierra de Luna,Luna,2026-05-09,5,"Trato familiar y desayuno casero. Desde Luna se llega rápido a Zaragoza y a Huesca. Volveremos con los niños."
8,Hostal Sierra de Luna,Luna,2026-05-16,4,"Habitación amplia. Ruido de tractores por la mañana, cosas del pueblo. Subimos a la Sierra de Luna: recomendable."
9,Hostal Sierra de Luna,Luna,2026-05-23,1,"Nos cancelaron la reserva sin avisar y tuvimos que dormir en Ejea de los Caballeros. Pésima gestión."
10,Casa Rural El Cierzo,Uncastillo,2026-05-30,5,"Segunda vez este año. Perfecta para descansar y hacer senderismo por las Cinco Villas."
11,Apartamentos Las Bardenas,Sádaba,2026-06-06,4,"Buena relación calidad-precio. El castillo de Sádaba merece la visita y la piscina municipal está al lado."
12,Hostal Sierra de Luna,Luna,2026-06-13,3,"Correcto. La cena llegó tarde porque había una boda. El paseo hasta la ermita de Monlora compensó."
13,Casa Rural El Cierzo,Uncastillo,2026-06-20,4,"Casa con encanto. Fuimos a Navarra a ver Olite y volvimos por Sos del Rey Católico. Muy recomendable."
14,Apartamentos Las Bardenas,Sádaba,2026-06-27,2,"Demasiado calor y sin aire acondicionado. Nadie respondió al teléfono el domingo."
15,Hostal Sierra de Luna,Luna,2026-07-04,5,"Todo perfecto. Nos recomendaron la ruta de las Cinco Villas y el pueblo organizaba fiestas ese fin de semana."
16,Casa Rural El Cierzo,Uncastillo,2026-07-11,3,"Bien, pero la limpieza del baño dejaba que desear. La visita a la judería de Uncastillo, estupenda."
17,Apartamentos Las Bardenas,Sádaba,2026-07-18,5,"Atardecer en las Bardenas inolvidable. El apartamento tenía todo lo necesario."
18,Hostal Sierra de Luna,Luna,2026-07-25,4,"Muy tranquilo. Ideal para trabajar unos días en remoto: el wifi funcionó bien todo el tiempo."
19,Casa Rural El Cierzo,Uncastillo,2026-08-01,1,"Había una gotera en el dormitorio y no lo solucionaron. Salimos a Zaragoza para pasar la noche."
20,Apartamentos Las Bardenas,Sádaba,2026-08-08,4,"Cerca del Canal de Bardenas, ideal para pasear. Vimos aves en la laguna de Gallocanta en la excursión del sábado."
21,Hostal Sierra de Luna,Luna,2026-08-15,5,"Las fiestas de Luna fueron una sorpresa. Desayuno excelente y personal muy amable."
22,Casa Rural El Cierzo,Uncastillo,2026-08-22,4,"Casa amplia para ocho personas. Excursión al Pirineo desde aquí: Jaca queda a poco más de una hora."
23,Apartamentos Las Bardenas,Sádaba,2026-08-29,3,"Apartamento pequeño para cuatro. El pueblo de Sádaba, muy acogedor."
24,Hostal Sierra de Luna,Luna,2026-09-05,2,"Cobraron dos veces la reserva. Lo devolvieron, pero tuvimos que reclamar a la oficina comarcal de turismo para que nos hicieran caso."
