id,instalacion_id,fecha_aviso,fecha_cierre,categoria,prioridad,descripcion
1,PIS-01,2026-06-02,2026-06-03,fontaneria,alta,"La depuradora de la piscina de Ejea de los Caballeros no arranca. Avisado el técnico de mantenimiento."
2,PAB-02,2026-06-02,2026-06-09,electricidad,media,"Fallan tres focos de la pista central del pabellón de Tauste. El club de baloncesto de Tauste pide arreglo antes del torneo."
3,PIS-01,2026-06-04,2026-06-04,limpieza,baja,"Vestuarios sucios tras el cursillo de natación de la mañana."
4,CAM-03,2026-06-05,,cesped,media,"Riego automático del campo de Sádaba encendido a las 12 del mediodía con gente entrenando."
5,PAB-02,2026-06-08,2026-06-08,seguridad,alta,"Puerta de emergencia del pabellón de Tauste bloqueada con material de la escuela de gimnasia."
6,PIS-04,2026-06-10,2026-06-12,fontaneria,media,"Fuga en las duchas de la piscina de Luna. Se ha cerrado el vestuario masculino."
7,PIS-01,2026-06-11,2026-06-11,atencion,baja,"Usuaria del club de natación pide que la taquilla abra antes de las 7 en verano."
8,CAM-03,2026-06-12,2026-06-19,cesped,baja,"Calvas en el área pequeña del campo de Sádaba tras el partido contra el equipo de Uncastillo."
9,PAB-05,2026-06-15,,electricidad,alta,"Cuadro eléctrico del pabellón de Ejea de los Caballeros salta con las gradas retráctiles."
10,PIS-04,2026-06-16,2026-06-17,limpieza,media,"Algas en el vaso pequeño de la piscina de Luna. Cerrado a los cursillos infantiles hasta limpieza."
11,PAB-02,2026-06-18,2026-06-18,atencion,baja,"El ayuntamiento solicita la pista para el festival de fin de curso del colegio."
12,CAM-06,2026-06-19,2026-06-26,cesped,media,"Césped artificial levantado en la banda del campo de Biota. Riesgo de tropiezo."
13,PIS-01,2026-06-22,2026-06-23,seguridad,alta,"Faltan dos salvavidas en la piscina grande de Ejea de los Caballeros. Salvamento Cinco Villas lo notificó tras la revisión."
14,PAB-05,2026-06-23,2026-06-24,limpieza,baja,"Restos del campus de verano en las gradas del pabellón de Ejea de los Caballeros."
15,PIS-04,2026-06-25,,fontaneria,alta,"La bomba de recirculación de la piscina de Luna hace un ruido anormal. Posible avería grave."
16,CAM-03,2026-06-26,2026-06-27,electricidad,media,"Marcador electrónico del campo de Sádaba apagado. El Club Deportivo Sádaba juega el domingo."
17,PAB-02,2026-06-29,2026-07-01,seguridad,media,"Canasta trasera del pabellón de Tauste con el tablero suelto."
18,CAM-06,2026-06-30,2026-06-30,atencion,baja,"Vecinos de Biota preguntan por el horario de apertura del campo en julio."
19,PIS-01,2026-07-01,2026-07-03,electricidad,media,"Luz de emergencia del vestuario femenino de la piscina de Ejea de los Caballeros fundida."
20,PAB-05,2026-07-02,,fontaneria,media,"Gotera sobre la pista del pabellón de Ejea de los Caballeros tras la tormenta de anoche."
